scoring_date,ACCOUNT_ID,SKU_ID,rank,score,k_recommended,model,generation_ts
2022-09-01,22204,7038,1,1.6173,3,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.101943Z
2022-09-01,22204,813,2,0.3987,3,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.101953Z
2022-09-01,22204,25119,3,0.3763,3,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.101962Z
2022-09-01,22247,7038,1,2.6291,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.818807Z
2022-09-01,22247,19088,2,2.0093,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.818814Z
2022-09-01,22247,23902,3,1.9729,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.818820Z
2022-09-01,22247,7651,4,1.7378,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.818827Z
2022-09-01,22247,19341,5,1.5056,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.818834Z
2022-09-01,22247,7634,6,1.0936,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.818841Z
2022-09-01,22456,19086,1,3.6565,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.076290Z
2022-09-01,22456,23902,2,3.5932,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.076297Z
2022-09-01,22456,21973,3,3.5191,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.076304Z
2022-09-01,22456,19337,4,3.3169,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.076311Z
2022-09-01,22456,19336,5,3.0118,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.076318Z
2022-09-01,22456,14191,6,2.9344,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.076325Z
2022-09-01,22456,7484,7,2.6729,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.076331Z
2022-09-01,22456,13953,8,2.5721,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.076338Z
2022-09-01,22456,7475,9,2.4489,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.076345Z
2022-09-01,22456,23903,10,2.3732,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.076352Z
2022-09-01,22456,25033,11,2.1197,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.076358Z
2022-09-01,22456,16137,12,1.9888,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.076365Z
2022-09-01,22477,7038,1,3.9745,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.780125Z
2022-09-01,22477,19088,2,3.5123,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.780135Z
2022-09-01,22477,7651,3,2.794,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.780144Z
2022-09-01,22477,19341,4,2.6102,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.780154Z
2022-09-01,22477,26567,5,2.4548,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.780163Z
2022-09-01,22639,21972,1,3.696,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.145847Z
